start_timestamp,end_timestamp,transcript_id,course_name,exp_id,pupil_size_avg,pupil_size_rela,pupil_size_predict,predict_type,student_id,past_pupil_list
1.09,20.02,0,star,1,3194.972710166898,0.499129749382848,0.7,each,0,-
1.09,20.02,0,star,1,3194.972710166898,0.499129749382848,0.7,all,0,-
1.09,20.02,0,star,1,3194.972710166898,0.499129749382848,0.8,past,0,-
1.09,20.02,0,star,1,3194.972710166898,0.499129749382848,0.5008702506171521,label,0,-
20.02,42.46,1,star,1,3304.971423716377,0.5618070790406707,0.8,each,0,0.5
20.02,42.46,1,star,1,3304.971423716377,0.5618070790406707,0.8,all,0,0.5
20.02,42.46,1,star,1,3304.971423716377,0.5618070790406707,0.8,past,0,0.5
20.02,42.46,1,star,1,3304.971423716377,0.5618070790406707,0.43819292095932927,label,0,0.5
42.46,81.31,2,star,1,3380.0052060619823,0.6045613709754885,0.7,each,0,0.5-0.44
42.46,81.31,2,star,1,3380.0052060619823,0.6045613709754885,0.6,all,0,0.5-0.44
42.46,81.31,2,star,1,3380.0052060619823,0.6045613709754885,0.75,past,0,0.5-0.44
42.46,81.31,2,star,1,3380.0052060619823,0.6045613709754885,0.39543862902451155,label,0,0.5-0.44
81.31,98.899,3,star,1,2856.8996054130253,0.3064955016598434,0.7,each,0,0.5-0.44-0.4
81.31,98.899,3,star,1,2856.8996054130253,0.3064955016598434,0.7,all,0,0.5-0.44-0.4
81.31,98.899,3,star,1,2856.8996054130253,0.3064955016598434,0.65,past,0,0.5-0.44-0.4
81.31,98.899,3,star,1,2856.8996054130253,0.3064955016598434,0.6935044983401566,label,0,0.5-0.44-0.4
98.899,127.079,4,star,1,3137.614434316208,0.4664469711203463,0.6,each,0,0.5-0.44-0.4-0.69
98.899,127.079,4,star,1,3137.614434316208,0.4664469711203463,0.6,all,0,0.5-0.44-0.4-0.69
98.899,127.079,4,star,1,3137.614434316208,0.4664469711203463,0.75,past,0,0.5-0.44-0.4-0.69
98.899,127.079,4,star,1,3137.614434316208,0.4664469711203463,0.5335530288796537,label,0,0.5-0.44-0.4-0.69
127.079,158.549,5,star,1,3106.959185493175,0.448979592873604,0.7,each,0,0.5-0.44-0.4-0.69-0.53
127.079,158.549,5,star,1,3106.959185493175,0.448979592873604,0.7,all,0,0.5-0.44-0.4-0.69-0.53
127.079,158.549,5,star,1,3106.959185493175,0.448979592873604,0.75,past,0,0.5-0.44-0.4-0.69-0.53
127.079,158.549,5,star,1,3106.959185493175,0.448979592873604,0.551020407126396,label,0,0.5-0.44-0.4-0.69-0.53
158.549,195.319,6,star,1,2962.8952196153605,0.3668918630286954,0.7,each,0,0.5-0.44-0.4-0.69-0.53-0.55
158.549,195.319,6,star,1,2962.8952196153605,0.3668918630286954,0.8,all,0,0.5-0.44-0.4-0.69-0.53-0.55
158.549,195.319,6,star,1,2962.8952196153605,0.3668918630286954,0.75,past,0,0.5-0.44-0.4-0.69-0.53-0.55
158.549,195.319,6,star,1,2962.8952196153605,0.3668918630286954,0.6331081369713045,label,0,0.5-0.44-0.4-0.69-0.53-0.55
1.09,20.02,0,star,1,3284.903905202586,0.6543363143551805,0.75,each,1,-
1.09,20.02,0,star,1,3284.903905202586,0.6543363143551805,0.6,all,1,-
1.09,20.02,0,star,1,3284.903905202586,0.6543363143551805,0.8,past,1,-
1.09,20.02,0,star,1,3284.903905202586,0.6543363143551805,0.34566368564481953,label,1,-
20.02,42.46,1,star,1,3334.6026152904087,0.6821748300184337,0.75,each,1,0.35
20.02,42.46,1,star,1,3334.6026152904087,0.6821748300184337,0.7,all,1,0.35
20.02,42.46,1,star,1,3334.6026152904087,0.6821748300184337,0.75,past,1,0.35
20.02,42.46,1,star,1,3334.6026152904087,0.6821748300184337,0.3178251699815663,label,1,0.35
42.46,81.31,2,star,1,3235.64491971435,0.6267441085082485,0.7,each,1,0.35-0.32
42.46,81.31,2,star,1,3235.64491971435,0.6267441085082485,0.8,all,1,0.35-0.32
42.46,81.31,2,star,1,3235.64491971435,0.6267441085082485,0.75,past,1,0.35-0.32
42.46,81.31,2,star,1,3235.64491971435,0.6267441085082485,0.37325589149175153,label,1,0.35-0.32
81.31,98.899,3,star,1,2735.684890234665,0.3466936788879236,0.6,each,1,0.35-0.32-0.37
81.31,98.899,3,star,1,2735.684890234665,0.3466936788879236,0.7,all,1,0.35-0.32-0.37
81.31,98.899,3,star,1,2735.684890234665,0.3466936788879236,0.45,past,1,0.35-0.32-0.37
81.31,98.899,3,star,1,2735.684890234665,0.3466936788879236,0.6533063211120764,label,1,0.35-0.32-0.37
98.899,127.079,4,star,1,2959.0956519149795,0.4718362424954373,0.6,each,1,0.35-0.32-0.37-0.65
98.899,127.079,4,star,1,2959.0956519149795,0.4718362424954373,0.6,all,1,0.35-0.32-0.37-0.65
98.899,127.079,4,star,1,2959.0956519149795,0.4718362424954373,0.75,past,1,0.35-0.32-0.37-0.65
98.899,127.079,4,star,1,2959.0956519149795,0.4718362424954373,0.5281637575045627,label,1,0.35-0.32-0.37-0.65
127.079,158.549,5,star,1,2920.4954622548926,0.4502145146365453,0.75,each,1,0.35-0.32-0.37-0.65-0.53
127.079,158.549,5,star,1,2920.4954622548926,0.4502145146365453,0.7,all,1,0.35-0.32-0.37-0.65-0.53
127.079,158.549,5,star,1,2920.4954622548926,0.4502145146365453,0.75,past,1,0.35-0.32-0.37-0.65-0.53
127.079,158.549,5,star,1,2920.4954622548926,0.4502145146365453,0.5497854853634547,label,1,0.35-0.32-0.37-0.65-0.53
158.549,195.319,6,star,1,2952.0159175101303,0.4678705601513123,0.75,each,1,0.35-0.32-0.37-0.65-0.53-0.55
158.549,195.319,6,star,1,2952.0159175101303,0.4678705601513123,0.8,all,1,0.35-0.32-0.37-0.65-0.53-0.55
158.549,195.319,6,star,1,2952.0159175101303,0.4678705601513123,0.6,past,1,0.35-0.32-0.37-0.65-0.53-0.55
158.549,195.319,6,star,1,2952.0159175101303,0.4678705601513123,0.5321294398486878,label,1,0.35-0.32-0.37-0.65-0.53-0.55
1.09,20.02,0,star,1,3666.242291309524,0.3424060022484818,0.6,each,2,-
1.09,20.02,0,star,1,3666.242291309524,0.3424060022484818,0.6,all,2,-
1.09,20.02,0,star,1,3666.242291309524,0.3424060022484818,0.8,past,2,-
1.09,20.02,0,star,1,3666.242291309524,0.3424060022484818,0.6575939977515182,label,2,-
20.02,42.46,1,star,1,4025.428284775471,0.5356178090910808,0.7,each,2,0.66
20.02,42.46,1,star,1,4025.428284775471,0.5356178090910808,0.7,all,2,0.66
20.02,42.46,1,star,1,4025.428284775471,0.5356178090910808,0.75,past,2,0.66
20.02,42.46,1,star,1,4025.428284775471,0.5356178090910808,0.4643821909089192,label,2,0.66
