course_id,course_year,student_id,past_scores,score_type,score_item,region,imd_band
CCC,2014B,29764,92.0-97.0-92.0-84.0-90.0-89.0-83.0-83.0,label_score,94.0,East Anglian Region,50
CCC,2014B,29764,92.0-97.0-92.0-84.0-90.0-89.0-83.0-83.0,predict_score_both,88.0,East Anglian Region,50
CCC,2014B,29764,92.0-97.0-92.0-84.0-90.0-89.0-83.0-83.0,predict_score_persona,75.0,East Anglian Region,50
CCC,2014B,29764,92.0-97.0-92.0-84.0-90.0-89.0-83.0-83.0,predict_score_past,88.0,East Anglian Region,50
CCC,2014B,29764,92.0-97.0-92.0-84.0-90.0-89.0-83.0-83.0,predict_score_past_1,90.0,East Anglian Region,50
CCC,2014B,29764,92.0-97.0-92.0-84.0-90.0-89.0-83.0-83.0,predict_score_past_2,95.0,East Anglian Region,50
CCC,2014B,29764,92.0-97.0-92.0-84.0-90.0-89.0-83.0-83.0,predict_score_past_3,95.0,East Anglian Region,50
CCC,2014B,29764,92.0-97.0-92.0-84.0-90.0-89.0-83.0-83.0,predict_score_past_4,90.0,East Anglian Region,50
CCC,2014B,29764,92.0-97.0-92.0-84.0-90.0-89.0-83.0-83.0,predict_score_past_5,90.0,East Anglian Region,50
CCC,2014B,29820,100.0-87.0-87.0-85.0-60.0-76.0-79.0-72.0,label_score,76.0,East Anglian Region,40
CCC,2014B,29820,100.0-87.0-87.0-85.0-60.0-76.0-79.0-72.0,predict_score_both,80.0,East Anglian Region,40
CCC,2014B,29820,100.0-87.0-87.0-85.0-60.0-76.0-79.0-72.0,predict_score_persona,75.0,East Anglian Region,40
CCC,2014B,29820,100.0-87.0-87.0-85.0-60.0-76.0-79.0-72.0,predict_score_past,80.0,East Anglian Region,40
CCC,2014B,29820,100.0-87.0-87.0-85.0-60.0-76.0-79.0-72.0,predict_score_past_1,95.0,East Anglian Region,40
CCC,2014B,29820,100.0-87.0-87.0-85.0-60.0-76.0-79.0-72.0,predict_score_past_2,92.0,East Anglian Region,40
CCC,2014B,29820,100.0-87.0-87.0-85.0-60.0-76.0-79.0-72.0,predict_score_past_3,90.0,East Anglian Region,40
CCC,2014B,29820,100.0-87.0-87.0-85.0-60.0-76.0-79.0-72.0,predict_score_past_4,90.0,East Anglian Region,40
CCC,2014B,29820,100.0-87.0-87.0-85.0-60.0-76.0-79.0-72.0,predict_score_past_5,90.0,East Anglian Region,40
CCC,2014B,40604,90.0-68.0-57.0-37.0-70.0-90.0,label_score,66.0,Ireland,nan
CCC,2014B,40604,90.0-68.0-57.0-37.0-70.0-90.0,predict_score_both,80.0,Ireland,nan
CCC,2014B,40604,90.0-68.0-57.0-37.0-70.0-90.0,predict_score_persona,75.0,Ireland,nan
CCC,2014B,40604,90.0-68.0-57.0-37.0-70.0-90.0,predict_score_past,80.0,Ireland,nan
CCC,2014B,40604,90.0-68.0-57.0-37.0-70.0-90.0,predict_score_past_1,90.0,Ireland,nan
CCC,2014B,40604,90.0-68.0-57.0-37.0-70.0-90.0,predict_score_past_2,80.0,Ireland,nan
CCC,2014B,40604,90.0-68.0-57.0-37.0-70.0-90.0,predict_score_past_3,80.0,Ireland,nan
CCC,2014B,40604,90.0-68.0-57.0-37.0-70.0-90.0,predict_score_past_4,75.0,Ireland,nan
CCC,2014B,40604,90.0-68.0-57.0-37.0-70.0-90.0,predict_score_past_5,75.0,Ireland,nan
CCC,2014B,42638,84.0-84.0-76.0-73.0-50.0-77.0-65.0-59.0,label_score,50.0,Scotland,90
CCC,2014B,42638,84.0-84.0-76.0-73.0-50.0-77.0-65.0-59.0,predict_score_both,80.0,Scotland,90
CCC,2014B,42638,84.0-84.0-76.0-73.0-50.0-77.0-65.0-59.0,predict_score_persona,75.0,Scotland,90
CCC,2014B,42638,84.0-84.0-76.0-73.0-50.0-77.0-65.0-59.0,predict_score_past,75.0,Scotland,90
CCC,2014B,42638,84.0-84.0-76.0-73.0-50.0-77.0-65.0-59.0,predict_score_past_1,85.0,Scotland,90
CCC,2014B,42638,84.0-84.0-76.0-73.0-50.0-77.0-65.0-59.0,predict_score_past_2,85.0,Scotland,90
CCC,2014B,42638,84.0-84.0-76.0-73.0-50.0-77.0-65.0-59.0,predict_score_past_3,80.0,Scotland,90
CCC,2014B,42638,84.0-84.0-76.0-73.0-50.0-77.0-65.0-59.0,predict_score_past_4,80.0,Scotland,90
CCC,2014B,42638,84.0-84.0-76.0-73.0-50.0-77.0-65.0-59.0,predict_score_past_5,80.0,Scotland,90
CCC,2014B,46605,98.0-97.0-94.0-88.0-90.0-94.0-90.0-93.0,label_score,98.0,East Anglian Region,60
CCC,2014B,46605,98.0-97.0-94.0-88.0-90.0-94.0-90.0-93.0,predict_score_both,92.0,East Anglian Region,60
CCC,2014B,46605,98.0-97.0-94.0-88.0-90.0-94.0-90.0-93.0,predict_score_persona,75.0,East Anglian Region,60
CCC,2014B,46605,98.0-97.0-94.0-88.0-90.0-94.0-90.0-93.0,predict_score_past,92.0,East Anglian Region,60
CCC,2014B,46605,98.0-97.0-94.0-88.0-90.0-94.0-90.0-93.0,predict_score_past_1,95.0,East Anglian Region,60
CCC,2014B,46605,98.0-97.0-94.0-88.0-90.0-94.0-90.0-93.0,predict_score_past_2,95.0,East Anglian Region,60
